id,source,language,task1,task2,clean_text
1,twitter,en,1,ideological-inequality,she calls herself antifeminazi how about shut the fucking up on your vile commentary on an elderly responsible citizen tu sach muuch ghani baawribewdi hai bey
2,twitter,en,0,non-sexist,now back to these women the brave and the beautiful and these bad ass babes are deserve so much credit for how this season has gone woman ive learned so much from them and feel more empowered to expect more in future relationships
3,twitter,en,1,objectification,wow your skirt is very short what is its length inch or more
4,twitter,en,0,non-sexist,incredible beautifulbut laughed so much when read about you drifting in your wheelchairi can just picture it
5,twitter,en,0,non-sexist,find it extremely hard to believe that kelly or old mum would believe any of this so it makes me question what the fuck their game was especially as none of them have apologised or tried to explain amp their immediate response was to like tweets attacking the victims
6,twitter,en,1,sexual-violence,hellom rajm with good size and excellent stamina passionate pussy lickerlove to lick every holes were womens desire to lickeddoggymissionarywomen on topmy best pose to spank over bed
7,twitter,en,0,non-sexist,true story me to yo daughter get gun so you can shoot any wouldbe rapist thats sexist and victim blaming women shouldnt need to carry guns to protect themselvesme youre right they shouldnt have to some people are evil and you need to deal with them
8,twitter,en,0,non-sexist,head coach caroline ouellette is excited to share some great news about the stingers givingtuesday initiative anonymous donor has offered to match gifts to the concordia womens hockey team up to total of
9,twitter,en,0,non-sexist,devli branch new delhi should be avoided all and deserves being shut because the employees therein are least bothered with the consumers woes days yet no redressal of woes disappointed harassed
10,twitter,en,0,non-sexist,bravo to this woman no matter what you believe about covid standing up for your beliefs when everyone around you is making you feel crazy is hard to do she held her own you know this woman please tag her need to send her bottle of wine or something
11,twitter,en,1,ideological-inequality,you werent actually whatthis is not painted pic this is reality what you are advocating you say facilitators thats stranger examining rape victims anus swabbing her vagina you are telling raped women that their request for same sex care is transphobic
12,twitter,en,0,non-sexist,let me just say quick thankyou to hezekiahs mom for this pound of chocolate hezekiah actually drives me crazy at work but as year old have to forgive him and be nice
13,twitter,en,0,non-sexist,not the victim card
14,twitter,en,0,non-sexist,thats because us and sunderland fans are too busy being dickheads to our shitshow managers and owners to slag off other clubs
15,twitter,en,0,non-sexist,get over yourselves women know what period is isnt we dont talk about it or whine about it as much as some disinterested parties
16,twitter,en,1,ideological-inequality,dont know any feminists who think the way youre accusing us of anything feminism would say the opposite woman shouldnt need man or men to make her feel valid anymore than man should we should all find that in ourselves
17,twitter,en,0,non-sexist,what knee slapper so freakin true
18,twitter,en,1,stereotyping-dominance,really just want to be rich but not trophy wife rich rich with own
19,twitter,en,0,non-sexist,they dont even wanna acknowledge that but were supposed to break from and destroy some system of misandry for them
20,twitter,en,1,ideological-inequality,this feels like cold take on the surface but feel like this is hand waving away so much earlys conservative media legwork that was done that has been largely paved over limbaugh hit it big in when he uttered the first usage of feminazi had heard describing
21,twitter,en,0,non-sexist,sports nutrition beef bone broth powder made with premiumquality beef bone extract pound
